visual_name,kpi_name,value,value_type
Total Sales by CATEGORY and SUB_CATEGORY,Appliances,"Total Customers
2K",number
Total Sales by CATEGORY and SUB_CATEGORY,Art,"Total Profit
$1.47M",number
Total Sales by CATEGORY and SUB_CATEGORY,Binders,"Profit Margin
11.61%",number
Total Sales by CATEGORY and SUB_CATEGORY,Bookcases,"Return Rate %
4.68 %",number
Total Sales by CATEGORY and SUB_CATEGORY,Chairs,"$749,237.02",number
Total Sales by CATEGORY and SUB_CATEGORY,Copiers,,number
Total Sales by CATEGORY and SUB_CATEGORY,Envelopes,,number
Total Sales by CATEGORY and SUB_CATEGORY,Fasteners,,number
Total Sales by CATEGORY and SUB_CATEGORY,Furnishings,,number
Total Sales by CATEGORY and SUB_CATEGORY,Labels,,number
Total Sales by CATEGORY and SUB_CATEGORY,Machines,"$1,509,436.27",number
Total Sales by CATEGORY and SUB_CATEGORY,Paper,,number
Total Sales by CATEGORY and SUB_CATEGORY,Phones,,number
Total Sales by CATEGORY and SUB_CATEGORY,CATEGORY,,number
Total Sales by CATEGORY and SUB_CATEGORY,Accessories,,number
Total Sales by CATEGORY and SUB_CATEGORY,Appliances,"$779,060.07",number
Total Sales by CATEGORY and SUB_CATEGORY,Art,,number
Total Sales by CATEGORY and SUB_CATEGORY,Binders,"$1,706,824.14",number
Total Sales by CATEGORY and SUB_CATEGORY,Bookcases,,number
Total Sales by CATEGORY and SUB_CATEGORY,Chairs,,number
Total Sales by CATEGORY and SUB_CATEGORY,Copiers,,number
Total Sales by CATEGORY and SUB_CATEGORY,Envelopes,,number
Total Sales by CATEGORY and SUB_CATEGORY,Fasteners,"$1,466,572.24",number
Total Sales by CATEGORY and SUB_CATEGORY,Furnishings,"$1,501,681.76",number
Total Sales by CATEGORY and SUB_CATEGORY,Labels,,number
Total Sales by CATEGORY and SUB_CATEGORY,Machines,,number
Total Sales by CATEGORY and SUB_CATEGORY,Paper,,number
Total Sales by CATEGORY and SUB_CATEGORY,Phones,"$385,578.26",number
Total Sales by CATEGORY and SUB_CATEGORY,CATEGORY,,number
Total Sales by CATEGORY and SUB_CATEGORY,Accessories,,number
Total Sales by CATEGORY and SUB_CATEGORY,Appliances,,number
Total Sales by CATEGORY and SUB_CATEGORY,Art,,number
Total Sales by CATEGORY and SUB_CATEGORY,Binders,,number
Total Sales by CATEGORY and SUB_CATEGORY,Bookcases,"$1,011,064.30",number
Total Sales by CATEGORY and SUB_CATEGORY,Chairs,"$372,091.97",number
Total Sales by CATEGORY and SUB_CATEGORY,Copiers,"$461,911.51",number
Total Sales by CATEGORY and SUB_CATEGORY,Envelopes,,number
Total Sales by CATEGORY and SUB_CATEGORY,Fasteners,,number
Total Sales by CATEGORY and SUB_CATEGORY,Furnishings,,number
Total Sales by CATEGORY and SUB_CATEGORY,Labels,"$170,904.30",number
Total Sales by CATEGORY and SUB_CATEGORY,Machines,"$83,242.32",number
Total Sales by CATEGORY and SUB_CATEGORY,Paper,,number
Total Sales by CATEGORY and SUB_CATEGORY,Phones,"$73,404.03",number
Total Sales by CATEGORY and SUB_CATEGORY,CATEGORY,,number
Total Sales by CATEGORY and SUB_CATEGORY,Accessories,"$244,291.72",number
Total Sales by CATEGORY and SUB_CATEGORY,Appliances,,number
Total Sales by SEGMENT,SEGMENT,"Total Sales
$12.64M",number
Total Sales by SEGMENT,Total Sales,"Total Orders
25K",number
Total Sales by SEGMENT,SEGMENT,"Total Customers
2K",number
Total Sales by SEGMENT,Total Sales,"Total Profit
$1.47M",number
Total Sales by SEGMENT,SEGMENT,"Profit Margin
11.61%",number
Total Sales by SEGMENT,Total Sales,"Return Rate %
4.68 %",number
Total Sales by SEGMENT,SEGMENT,"$6,507,949.42",number
Total Sales by SEGMENT,Total Sales,"$3,824,697.52",number
Total Sales by SEGMENT,SEGMENT,"$2,309,854.97",number
