visual_name,kpi_name,value,value_type
Untitled Visual,"Total Profit [2014, Qtr 4]","$167,982.94",number
Total Sales by MARKET,Total Sales [APAC],"$3,585,744.13",number
Total Sales by MARKET,Total Sales [EU],"$2,938,089.06",number
Total Sales by MARKET,Total Sales [US],"$2,297,200.86",number
Total Sales by MARKET,Total Sales [LATAM],"$2,164,605.17",number
Total Sales by MARKET,Total Sales [EMEA],"$806,161.31",number
Total Sales by MARKET,Total Sales [Africa],"$783,773.21",number
Total Sales by MARKET,Total Sales [Canada],"$66,928.17",number
Untitled Visual,Total Sales [APAC],"$3,585,744.13",number
Untitled Visual,Total Sales [EU],"$2,938,089.06",number
Untitled Visual,Total Sales [US],"$2,297,200.86",number
Untitled Visual,Total Sales [LATAM],"$2,164,605.17",number
Untitled Visual,Total Sales [EMEA],"$806,161.31",number
Untitled Visual,Total Sales [Africa],"$783,773.21",number
Untitled Visual,Total Sales [Canada],"$66,928.17",number
Total Sales by CATEGORY and SUB_CATEGORY,Accessories [Technology],"$749,237.02",number
Total Sales by CATEGORY and SUB_CATEGORY,Copiers [Technology],"$1,509,436.27",number
Total Sales by CATEGORY and SUB_CATEGORY,Machines [Technology],"$779,060.07",number
Total Sales by CATEGORY and SUB_CATEGORY,Phones [Technology],"$1,706,824.14",number
Total Sales by CATEGORY and SUB_CATEGORY,Bookcases [Furniture],"$1,466,572.24",number
Total Sales by CATEGORY and SUB_CATEGORY,Chairs [Furniture],"$1,501,681.76",number
Total Sales by CATEGORY and SUB_CATEGORY,Furnishings [Furniture],"$385,578.26",number
Total Sales by CATEGORY and SUB_CATEGORY,Appliances [Office Supplies],"$1,011,064.30",number
Total Sales by CATEGORY and SUB_CATEGORY,Art [Office Supplies],"$372,091.97",number
Total Sales by CATEGORY and SUB_CATEGORY,Binders [Office Supplies],"$461,911.51",number
Total Sales by CATEGORY and SUB_CATEGORY,Envelopes [Office Supplies],"$170,904.30",number
Total Sales by CATEGORY and SUB_CATEGORY,Fasteners [Office Supplies],"$83,242.32",number
Total Sales by CATEGORY and SUB_CATEGORY,Labels [Office Supplies],"$73,404.03",number
Total Sales by CATEGORY and SUB_CATEGORY,Paper [Office Supplies],"$244,291.72",number
Untitled Visual,Accessories [Technology],"$749,237.02",number
Untitled Visual,Copiers [Technology],"$1,509,436.27",number
Untitled Visual,Machines [Technology],"$779,060.07",number
Untitled Visual,Phones [Technology],"$1,706,824.14",number
Untitled Visual,Bookcases [Furniture],"$1,466,572.24",number
Untitled Visual,Chairs [Furniture],"$1,501,681.76",number
Untitled Visual,Furnishings [Furniture],"$385,578.26",number
Untitled Visual,Appliances [Office Supplies],"$1,011,064.30",number
Untitled Visual,Art [Office Supplies],"$372,091.97",number
Untitled Visual,Binders [Office Supplies],"$461,911.51",number
Untitled Visual,Envelopes [Office Supplies],"$170,904.30",number
Untitled Visual,Fasteners [Office Supplies],"$83,242.32",number
Untitled Visual,Labels [Office Supplies],"$73,404.03",number
Untitled Visual,Paper [Office Supplies],"$244,291.72",number
Total Sales by SEGMENT,Total Sales [Consumer],"$6,507,949.42",number
Total Sales by SEGMENT,Total Sales [Corporate],"$3,824,697.52",number
Total Sales by SEGMENT,Total Sales [Home Office],"$2,309,854.97",number
Untitled Visual,Total Sales [Consumer],"$6,507,949.42",number
Untitled Visual,Total Sales [Corporate],"$3,824,697.52",number
Untitled Visual,Total Sales [Home Office],"$2,309,854.97",number
