visual_name,kpi_name,value,value_type,visual_type
Untitled Visual,Return Rate % [West],11.73 %,number,table
Untitled Visual,Total Sales [North],"$1,248,165.60",number,table
Untitled Visual,Total Orders [North],2356,number,table
Untitled Visual,Return Rate % [North],10.02 %,number,table
Untitled Visual,Total Sales [Central],"$2,822,302.52",number,table
Untitled Visual,Total Orders [Central],5249,number,table
Untitled Visual,Return Rate % [Central],4.80 %,number,table
Untitled Visual,Total Sales [South],"$1,600,907.04",number,table
Untitled Visual,Total Orders [South],3270,number,table
Untitled Visual,Return Rate % [South],4.10 %,number,table
Untitled Visual,Total Sales [Southeast Asia],"$884,423.17",number,table
Untitled Visual,Total Orders [Southeast Asia],1517,number,table
Untitled Visual,Return Rate % [Southeast Asia],3.63 %,number,table
Untitled Visual,Total Sales [Oceania],"$1,100,184.61",number,table
Untitled Visual,Total Orders [Oceania],1744,number,table
Untitled Visual,Return Rate % [Oceania],3.33 %,number,table
Untitled Visual,Total Sales [East],"$678,781.24",number,table
Untitled Visual,Total Orders [East],1401,number,table
Untitled Visual,Return Rate % [East],3.21 %,number,table
Untitled Visual,Total Sales [Caribbean],"$324,280.86",number,table
Untitled Visual,Total Orders [Caribbean],855,number,table
Untitled Visual,Return Rate % [Caribbean],2.92 %,number,table
Untitled Visual,Total Sales [Central Asia],"$752,826.57",number,table
Untitled Visual,Total Orders [Central Asia],1026,number,table
Untitled Visual,Return Rate % [Central Asia],2.34 %,number,table
Untitled Visual,Total Sales [Africa],"$783,773.21",number,table
Untitled Visual,Total Orders [Africa],2232,number,table
Untitled Visual,Total Sales [Canada],"$66,928.17",number,table
Untitled Visual,Total Orders [Canada],201,number,table
Untitled Visual,Total Sales [EMEA],"$806,161.31",number,table
Untitled Visual,Total Orders [EMEA],2462,number,table
Untitled Visual,Total Sales [Total],"$12,642,501.91",number,table
Untitled Visual,Total Orders [Total],25035,number,table
Untitled Visual,Return Rate % [Total],4.68 %,number,table
